Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Instructions_Loop.ran,Top,Top_Bottom,TBMT_int,Middle_Top,Middle,Middle_Bottom,Bottom_Top,Bottom_Middle,Bottom,Photo,Mid_Photo,participant,session,date,expName,psychopyVersion,OS,frameRate,Redo_Instructions_Resp.keys,Redo_Instructions_Resp.rt,Practice_Responding.keys,Practice_Responding.corr,Practice_Responding.rt,Repeat_Loop.thisRepN,Repeat_Loop.thisTrialN,Repeat_Loop.thisN,Repeat_Loop.thisIndex,Repeat_Loop.ran,Practice_Loop.thisRepN,Practice_Loop.thisTrialN,Practice_Loop.thisN,Practice_Loop.thisIndex,Practice_Loop.ran,Prac_Scene,Scale,Prac_Ans,PracticeText,Warning_Sign.thisRepN,Warning_Sign.thisTrialN,Warning_Sign.thisN,Warning_Sign.thisIndex,Warning_Sign.ran,Encoding_Resp.keys,Encoding_Resp.rt,Item_Mem_Response,Item_Conf_Response,Src_LoopRun,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.ran,Rec_Scene,RecAns,Src_Scene,SrcAns,Group_Order.thisRepN,Group_Order.thisTrialN,Group_Order.thisN,Group_Order.thisIndex,Group_Order.ran,blockFile,Src_blockFile,Src_Resp.keys,Src_Resp.rt,Source_Mem_Response,Source_Conf_Response,Src_Blocks.thisRepN,Src_Blocks.thisTrialN,Src_Blocks.thisN,Src_Blocks.thisIndex,Src_Blocks.ran
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,l,0,0.724,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,s,0,2.0511,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,l,0,7.4676,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,s,0,17.2526,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,k,0,1.0459,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,5,0,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,p,0,2.0357,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,6,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,s,0,2.918,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,7,0,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,a,0,0.3461,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,8,0,8,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,a,0,6.347,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,9,0,9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,d,0,0.8504,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,10,0,10,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,j,1,1.9472,11,0,11,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,,,,,,0,4,4,4,1,TS04scene_Rec.png,Empty.png,j,what would you respond if you were not confident you remembered seeing this image?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,l,0,2.4766,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,j,0,0.4475,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,a,1,0.4084,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,,,,,,0,5,5,5,1,TS04scene_SrcRec.png,Empty.png,a,respond as if you very confidently remembered another border color around this photo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,j,0,2.3134,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,a,0,0.3336,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,s,1,0.3981,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,,,,,,0,6,6,6,1,TS08scene_Rec.png,Empty.png,s,what would you respond if you were somewhat confident you did not remember seeing this image?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,s,0,1.9326,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,l,0,0.4327,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,a,0,0.3725,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,j,0,0.6542,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,k,1,0.0664,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,,,,,,0,7,7,7,1,TS02scene_Rec.png,Empty.png,k,what would you respond if you were somewhat confident you remembered seeing this image?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,k,0,2.5519,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,a,0,0.3533,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,s,1,0.2368,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,,,,,,0,8,8,8,1,TS02scene_SrcRec.png,Empty.png,s,respond as if you somewhat confidently remembered another border color around this photo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,s,0,1.0473,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,a,0,0.9845,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,k,0,0.3331,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,l,0,0.2529,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,j,0,0.0152,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,241,1,2023-11-07_12h22.02.534,Online_SceneSrcMD_R,2020.2.10,MacIntel,60,,,,,,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
